,분류,키워드
0,0,한달동안 학교에서 메일 온 적 있는지
1,0,다리미 전원 켜져있는지
2,0,오늘 체감온도
3,0,오늘 하루 에어컨 컨센트 끄기
4,0,오늘 남은 약속들 전부 취소하기
5,0,내일 있는 수업
6,0,전송실패 메일 있는지
7,0,오늘 오전 눈 오는 시간
8,0,방학 컴퓨터 수업일정 취소 여부
9,0,다음주 플레이스테이션 신작 게임 예약 여부
10,0,웃으면서 안부도 묻고 지내기
11,0,첨부파일 있는 메일 빼고 모두 삭제하기
12,0,이번주 금요일 눈 오는지
13,0,한강에 유람선 타러 가기
14,0,내가 보낸 메일함에 있는 이메일 모두 지우기
15,0,화장실 비데 켜 놓기
16,0,무교동 주변 낙지전문점
17,0,어제 온 메일
18,0,오늘 온 메일 모두 확인하고 지워줄 수 있는지
19,0,예약문의 메일 검색하기
20,0,읽은 편지함에 있는 메일 다 지우기
21,0,다음달 십일에서 십육일 여행일정 추가하기
22,0,내일 오후 다섯시 조별과제 일정 추가하기
23,0,서울대 근처 많이 가는 맥주집 가는 방법
24,0,화장실 불 꺼져있는지
25,0,사업에 따른 제반 여건 조사하기
26,0,스팸 메일함 열기
27,0,내일 오존주의보 발령 여부
28,0,오전 일정 전부 취소하기
29,0,이번 주 토요일 만나기로 한 사람
30,0,티브이 음소거하기
31,0,오늘 친구와 점심약속 시간
32,0,강남구청 갈 때 버스 지하철 중 나은 것
33,0,메가박스에서 보낸 예매 확인 메일 확인하기
34,0,다른 물품 여부
35,0,수업 끝나고 학교 뒷산으로 나오기
36,0,의사 선생님 소견서 열기
37,0,난방 설정 온도
38,0,삐면 한의원 가서 침 맞기
39,0,오늘 일정 내일로 미루기
40,0,백일 날짜
41,0,십일번가에서 온 메일 다 삭제하기
42,0,외출 후 모든 전기 끄기
43,0,증권거래소 위치
44,0,부부 갈등 요인
45,0,가장 오래 누군가를 기다려 본 때와 행동
46,0,현관문 잠겼는지
47,0,내일 불쾌지수
48,0,정말 아픈지
49,0,임시보관함 메일 수
50,0,다음주 월요일 날씨
51,0,내일 눈 오는지
52,0,현재 인기 채널 틀기
53,0,작년 이맘때 강수량
54,0,주식 배당금 사용 계획
55,0,오늘 바람 세기
56,0,오늘 온 메일 중 회사에서 온 메일 있는지
57,0,전화 안하는 이유
58,0,현관 씨씨티비 보여주기
59,0,내일 최저기온
60,0,오늘 미세먼지농도
61,0,아빠한테 답장하기
62,0,꼬망스 미니세탁기 스피드워시 기능 켜기
63,0,지금부터 내일까지 오는 메일 중요보관함에 보관하기
64,0,이번주 일기예보
65,0,택시와 지하철 중 빠른 것
66,0,쇼핑몰 메일 여부
67,0,지운 편지함 삭제했는지
68,0,다이어트 무리해서 하지 않기
69,0,적금통장 가지고 있는지
70,0,비슷한 토픽끼리 묶기
71,0,이번주 학교에서 온 메일 전부 읽은 것으로 처리하기
72,0,오늘 전송한 메일들 전부 휴지통으로 넣기
73,0,산책로 내에 자전거나 애완견 데리고 들어오지 않기
74,0,엄마 가방 돈 돌려줄지 그냥 넘어갈지
75,0,작은방 에어컨 켜기
76,0,개강일
77,0,청자가 텔레비전 나오는 시기
78,0,우리 딸 호주여행에서 돌아올 날짜
79,0,내일 스터디 참석 시각
80,0,다음주 스케쥴 다 취소하기
81,0,추석 때 조상님께 차례 지내기
82,0,프로농구 삼 점슛 일 위 관련 기사
83,0,암기능력 향상 방법
84,0,그 곳 날씨
85,0,지난주 등록 일정
86,0,보낸 메일 중 되돌아 온 메일 수
87,0,편한 데서 만나기
88,0,오늘 오전 일정
89,0,오늘 온 메일중 회사 관련 메일 목록 만들기
90,0,휴지통에 남은 메일 있는지
91,0,좋은 증권 정보 사이트
92,0,노란 등 켜기
93,0,다음 달 초 안목에 요트타러 갈 일정 입력하기
94,0,지난번 교통사고 후유증 여부
95,0,서울대 인근 당구장 위치
96,0,국제유가 상승 원자재 가격 상승 의미
97,0,한국행 비행기 팔월 십오일로 저장하기
98,0,이번달 결혼기념일 날짜
99,0,카드 값 막는 방법
100,0,밥솥 남은 시간
101,0,비과제 저축 통장 갖기
102,0,청자는 안가는지
103,0,내일 옷 따뜻하게 입고 나가기
104,0,메일 올 때마다 알리기
105,0,안 읽은 메일 읽음 처리하기
106,0,이번 장마 끝나는 때
107,0,공원 옆 샛길로 계속 직진하기
108,0,가족사진 메일 찾기
